stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\projects\MathWay\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.10128] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10138] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10147] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10158] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10169] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10184] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10201] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10214] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10223] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10233] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10249] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10260] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10269] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10281] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10292] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10303] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10314] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10324] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10335] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10346] Single Buffer requirement not met.
